variant,prompt,response
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Shoes
2. Adaptawear
3. FlexiFootwear
4. SizeSure Shoes
5. OmniStep Shoes"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Solemates
2. AdaptiStep Shoes
3. FitAll Footwear
4. FlexiFit Footgear
5. OmniSize Sneakers
6. VersaFit Shoes
7. InfiniteFit Flats
8. OneStep Fits All
9. FlexiSole Shoes
10. ComfortStride Omni-Fit"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniStep
2. FitFlex
3. AdaptiSoles
4. VersiFit
5. AllFit Shoes
6. FlexiFit Footwear
7. SizeShifters
8. OmniSole
9. AdaptaFit Sneakers
10. FlexiForm Shoes"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Shoes
2. FlexiFit Footwear
3. AdaptWear Shoes
4. SizeFlex Shoes
5. OneFit Footgear
6. VerstaFit Shoes
7. FitAll Footwear
8. OmniSize Shoes
9. UniFit Footgear
10. VersaFit Shoes"
A,"Product description: A pair of shoes that can
fit any foot size.
Seed words: adaptable, fit, omni-fit.
Product names:","1. OmniFit Shoes
2. AdaptiSole
3. OneSizeFit
4. FlexiFit Footwear
5. InfiniteStride Shoes
6. AllFit Sneakers
7. UniversalComfort Shoes
8. VersaSole Footwear
9. FlexiStep Shoes
10. AnyFit Footwear"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaFit Shoes, OmniSize Shoes, FitAll Footwear, SizeFlex Sneakers"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptiStep, FitFlex Shoes, OmniFitz, UniversalFit
Sneakers."
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","AdaptaFit, OmniSize, All-Fit Shoes, FlexiFit Shoes."
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","FlexFit Shoes, OmniStep, AdaptiSole, SizeShift Shoes"
B,"Product description: A home milkshake maker.
Seed words: fast, healthy, compact.
Product names: HomeShaker, Fit Shaker, QuickShake, Shake
Maker

Product description: A watch that can tell accurate time in
space.
Seed words: astronaut, space-hardened, eliptical orbit
Product names: AstroTime, SpaceGuard, Orbit-Accurate,
EliptoTime.

Product description: A pair of shoes that can fit any foot
size.
Seed words: adaptable, fit, omni-fit.
Product names:","FitStep, AllFit Shoes, OmniStep, SizeFlex Shoes."
